time,leverL,nose,threshold,horizontal,vertical
1470418597.41,784,1023,700,10,13.5
1470418597.43,784,1023,700,10,13.5
1470418597.44,783,1023,700,10,13.5
1470418597.46,783,1023,700,10,13.5
1470418597.48,783,1023,700,10,13.5
1470418597.49,782,1023,700,10,13.5
1470418597.51,781,1023,700,10,13.5
1470418597.53,783,1023,700,10,13.5
1470418597.54,782,1023,700,10,13.5
1470418597.56,779,1023,700,10,13.5
1470418597.57,776,1023,700,10,13.5
1470418597.59,776,1023,700,10,13.5
1470418597.61,774,1023,700,10,13.5
1470418597.62,772,1023,700,10,13.5
1470418597.64,771,1023,700,10,13.5
1470418597.66,769,1023,700,10,13.5
1470418597.67,768,1023,700,10,13.5
1470418597.69,768,1023,700,10,13.5
1470418597.71,768,1023,700,10,13.5
1470418597.72,767,1023,700,10,13.5
1470418597.74,767,1023,700,10,13.5
1470418597.75,766,1023,700,10,13.5
1470418597.77,765,1023,700,10,13.5
1470418597.79,768,1023,700,10,13.5
1470418597.8,765,1023,700,10,13.5
1470418597.82,766,1023,700,10,13.5
1470418597.84,764,1023,700,10,13.5
1470418597.85,764,1023,700,10,13.5
1470418597.87,762,1023,700,10,13.5
1470418597.89,757,1023,700,10,13.5
1470418597.9,754,1023,700,10,13.5
1470418597.92,754,1023,700,10,13.5
1470418597.93,754,1023,700,10,13.5
1470418597.95,754,1023,700,10,13.5
1470418597.97,754,1023,700,10,13.5
1470418597.98,743,1023,700,10,13.5
1470418598.0,753,1023,700,10,13.5
1470418598.02,753,1023,700,10,13.5
1470418598.03,753,1023,700,10,13.5
1470418598.05,754,1023,700,10,13.5
1470418598.07,753,1023,700,10,13.5
1470418598.08,752,1023,700,10,13.5
1470418598.1,750,1023,700,10,13.5
1470418598.11,750,1023,700,10,13.5
1470418598.13,751,1023,700,10,13.5
1470418598.15,751,1023,700,10,13.5
1470418598.16,744,1023,700,10,13.5
1470418598.18,750,1023,700,10,13.5
1470418598.2,750,1023,700,10,13.5
1470418598.21,751,1023,700,10,13.5
1470418598.23,750,1023,700,10,13.5
1470418598.25,751,1023,700,10,13.5
1470418598.26,750,1023,700,10,13.5
1470418598.28,750,1023,700,10,13.5
1470418598.3,750,1023,700,10,13.5
1470418598.31,750,1023,700,10,13.5
1470418598.33,749,1023,700,10,13.5
1470418598.34,748,1023,700,10,13.5
1470418598.36,749,1023,700,10,13.5
1470418598.38,748,1023,700,10,13.5
1470418598.39,749,1023,700,10,13.5
1470418598.41,749,1023,700,10,13.5
1470418598.43,749,1023,700,10,13.5
1470418598.44,748,1023,700,10,13.5
1470418598.46,748,1023,700,10,13.5
1470418598.48,748,1023,700,10,13.5
1470418598.49,748,1023,700,10,13.5
1470418598.51,748,1023,700,10,13.5
1470418598.53,744,1023,700,10,13.5
1470418598.54,747,1023,700,10,13.5
1470418598.56,748,1023,700,10,13.5
1470418598.57,748,1023,700,10,13.5
1470418598.59,748,1023,700,10,13.5
1470418598.61,748,1023,700,10,13.5
1470418598.62,748,1023,700,10,13.5
1470418598.64,748,1023,700,10,13.5
1470418598.66,748,1023,700,10,13.5
1470418598.67,748,1023,700,10,13.5
1470418598.69,748,1023,700,10,13.5
1470418598.71,751,1023,700,10,13.5
1470418598.72,738,1023,700,10,13.5
1470418598.74,748,1023,700,10,13.5
1470418598.75,748,1023,700,10,13.5
1470418598.77,747,1023,700,10,13.5
1470418598.79,748,1023,700,10,13.5
