time,leverL,nose,threshold,horizontal,vertical
1470345977.03,510,1023,600,10,13.5
1470345977.05,510,1023,600,10,13.5
1470345977.06,510,1023,600,10,13.5
1470345977.08,510,1023,600,10,13.5
1470345977.1,510,1023,600,10,13.5
1470345977.11,510,1023,600,10,13.5
1470345977.13,510,1023,600,10,13.5
1470345977.15,509,1023,600,10,13.5
1470345977.16,511,1023,600,10,13.5
1470345977.18,511,1023,600,10,13.5
1470345977.19,510,1023,600,10,13.5
1470345977.21,510,1023,600,10,13.5
1470345977.23,510,1023,600,10,13.5
1470345977.24,509,1023,600,10,13.5
1470345977.26,510,1023,600,10,13.5
1470345977.28,509,1023,600,10,13.5
1470345977.29,510,1023,600,10,13.5
1470345977.31,510,1023,600,10,13.5
1470345977.33,509,1023,600,10,13.5
1470345977.34,510,1023,600,10,13.5
1470345977.36,513,1023,600,10,13.5
1470345977.37,509,1023,600,10,13.5
1470345977.39,509,1023,600,10,13.5
1470345977.41,509,1023,600,10,13.5
1470345977.42,509,1023,600,10,13.5
1470345977.44,510,1023,600,10,13.5
1470345977.46,510,1023,600,10,13.5
1470345977.47,509,1023,600,10,13.5
1470345977.49,508,1023,600,10,13.5
1470345977.51,508,1023,600,10,13.5
1470345977.52,509,1023,600,10,13.5
1470345977.54,511,1023,600,10,13.5
1470345977.56,508,1023,600,10,13.5
1470345977.57,508,1023,600,10,13.5
1470345977.59,509,1023,600,10,13.5
1470345977.6,509,1023,600,10,13.5
1470345977.62,509,1023,600,10,13.5
1470345977.64,509,1023,600,10,13.5
1470345977.65,509,1023,600,10,13.5
1470345977.67,509,1023,600,10,13.5
1470345977.69,509,1023,600,10,13.5
1470345977.7,509,1023,600,10,13.5
1470345977.72,503,1023,600,10,13.5
1470345977.74,510,1023,600,10,13.5
1470345977.75,509,1023,600,10,13.5
1470345977.77,509,1023,600,10,13.5
1470345977.78,509,1023,600,10,13.5
1470345977.8,509,1023,600,10,13.5
1470345977.82,509,1023,600,10,13.5
1470345977.83,508,1023,600,10,13.5
1470345977.85,509,1023,600,10,13.5
1470345977.87,509,1023,600,10,13.5
1470345977.88,508,1023,600,10,13.5
1470345977.9,506,1023,600,10,13.5
1470345977.92,508,1023,600,10,13.5
1470345977.93,509,1023,600,10,13.5
1470345977.95,509,1023,600,10,13.5
1470345977.96,509,1023,600,10,13.5
1470345977.98,508,1023,600,10,13.5
1470345978.0,508,1023,600,10,13.5
1470345978.01,508,1023,600,10,13.5
1470345978.03,509,1023,600,10,13.5
1470345978.05,509,1023,600,10,13.5
1470345978.06,508,1023,600,10,13.5
1470345978.08,512,1023,600,10,13.5
1470345978.1,509,1023,600,10,13.5
1470345978.11,509,1023,600,10,13.5
1470345978.13,509,1023,600,10,13.5
1470345978.14,508,1023,600,10,13.5
1470345978.16,509,1023,600,10,13.5
1470345978.18,509,1023,600,10,13.5
1470345978.19,509,1023,600,10,13.5
1470345978.21,508,1023,600,10,13.5
1470345978.23,509,1023,600,10,13.5
1470345978.24,509,1023,600,10,13.5
1470345978.26,506,1023,600,10,13.5
1470345978.28,509,1023,600,10,13.5
1470345978.29,509,1023,600,10,13.5
1470345978.31,509,1023,600,10,13.5
1470345978.33,509,1023,600,10,13.5
1470345978.34,509,1023,600,10,13.5
1470345978.36,509,1023,600,10,13.5
1470345978.37,508,1023,600,10,13.5
1470345978.39,509,1023,600,10,13.5
1470345978.41,509,1023,600,10,13.5
1470345978.42,508,1023,600,10,13.5
1470345978.44,509,1023,600,10,13.5
1470345978.46,511,1023,600,10,13.5
1470345978.47,509,1023,600,10,13.5
1470345978.49,509,1023,600,10,13.5
1470345978.51,509,1023,600,10,13.5
1470345978.52,509,1023,600,10,13.5
1470345978.54,509,1023,600,10,13.5
1470345978.56,509,1023,600,10,13.5
1470345978.57,508,1023,600,10,13.5
1470345978.59,508,1023,600,10,13.5
1470345978.6,509,1023,600,10,13.5
1470345978.62,508,1023,600,10,13.5
1470345978.64,505,1023,600,10,13.5
1470345978.65,509,1023,600,10,13.5
1470345978.67,509,1023,600,10,13.5
1470345978.69,508,1023,600,10,13.5
1470345978.7,508,1023,600,10,13.5
1470345978.72,509,1023,600,10,13.5
1470345978.74,509,1023,600,10,13.5
1470345978.75,509,1023,600,10,13.5
1470345978.77,509,1023,600,10,13.5
