time,leverL,nose,threshold,horizontal,vertical
1470435437.09,502,1023,600,10,13.5
1470435437.11,497,1023,600,10,13.5
1470435437.12,503,1023,600,10,13.5
1470435437.14,503,1023,600,10,13.5
1470435437.16,503,1023,600,10,13.5
1470435437.17,503,1023,600,10,13.5
1470435437.19,503,1023,600,10,13.5
1470435437.21,503,1023,600,10,13.5
1470435437.22,502,1023,600,10,13.5
1470435437.24,503,1023,600,10,13.5
1470435437.26,502,1023,600,10,13.5
1470435437.27,503,1023,600,10,13.5
1470435437.29,503,1023,600,10,13.5
1470435437.31,504,1023,600,10,13.5
1470435437.32,505,1023,600,10,13.5
1470435437.34,503,1023,600,10,13.5
1470435437.36,503,1023,600,10,13.5
1470435437.37,502,1023,600,10,13.5
1470435437.39,502,1023,600,10,13.5
1470435437.41,503,1023,600,10,13.5
1470435437.42,503,1023,600,10,13.5
1470435437.44,503,1023,600,10,13.5
1470435437.46,502,1023,600,10,13.5
1470435437.47,502,1023,600,10,13.5
1470435437.49,503,1023,600,10,13.5
1470435437.51,503,1023,600,10,13.5
1470435437.52,506,1023,600,10,13.5
1470435437.54,500,1023,600,10,13.5
1470435437.56,503,1023,600,10,13.5
1470435437.57,503,1023,600,10,13.5
1470435437.59,503,1023,600,10,13.5
1470435437.61,503,1023,600,10,13.5
1470435437.62,502,1023,600,10,13.5
1470435437.64,503,1023,600,10,13.5
1470435437.66,503,1023,600,10,13.5
1470435437.67,502,1023,600,10,13.5
1470435437.69,503,1023,600,10,13.5
1470435437.71,502,1023,600,10,13.5
1470435437.72,503,1023,600,10,13.5
1470435437.74,502,1023,600,10,13.5
1470435437.76,504,1023,600,10,13.5
1470435437.77,503,1023,600,10,13.5
1470435437.79,503,1023,600,10,13.5
1470435437.81,503,1023,600,10,13.5
1470435437.82,503,1023,600,10,13.5
1470435437.84,503,1023,600,10,13.5
1470435437.86,502,1023,600,10,13.5
1470435437.87,503,1023,600,10,13.5
1470435437.89,503,1023,600,10,13.5
1470435437.91,503,1023,600,10,13.5
1470435437.92,503,1023,600,10,13.5
1470435437.94,503,1023,600,10,13.5
1470435437.95,499,1023,600,10,13.5
1470435437.97,503,1023,600,10,13.5
1470435437.99,503,1023,600,10,13.5
1470435438.0,503,1023,600,10,13.5
1470435438.02,503,1023,600,10,13.5
1470435438.04,502,1023,600,10,13.5
1470435438.05,503,1023,600,10,13.5
1470435438.07,502,1023,600,10,13.5
1470435438.09,503,1023,600,10,13.5
1470435438.11,502,1023,600,10,13.5
1470435438.12,503,1023,600,10,13.5
1470435438.14,503,1023,600,10,13.5
1470435438.16,503,1023,600,10,13.5
1470435438.17,503,1023,600,10,13.5
1470435438.19,503,1023,600,10,13.5
1470435438.21,503,1023,600,10,13.5
1470435438.22,503,1023,600,10,13.5
1470435438.24,503,1023,600,10,13.5
1470435438.26,503,1023,600,10,13.5
1470435438.27,503,1023,600,10,13.5
1470435438.29,503,1023,600,10,13.5
1470435438.31,502,1023,600,10,13.5
1470435438.32,503,1023,600,10,13.5
1470435438.34,503,1023,600,10,13.5
1470435438.36,502,1023,600,10,13.5
1470435438.37,503,1023,600,10,13.5
1470435438.39,503,1023,600,10,13.5
1470435438.41,503,1023,600,10,13.5
1470435438.42,502,1023,600,10,13.5
1470435438.44,503,1023,600,10,13.5
1470435438.46,503,1023,600,10,13.5
1470435438.47,503,1023,600,10,13.5
1470435438.49,503,1023,600,10,13.5
1470435438.51,503,1023,600,10,13.5
1470435438.52,503,1023,600,10,13.5
1470435438.54,502,1023,600,10,13.5
1470435438.55,503,1023,600,10,13.5
1470435438.57,503,1023,600,10,13.5
1470435438.59,502,1023,600,10,13.5
1470435438.61,503,1023,600,10,13.5
1470435438.62,511,1023,600,10,13.5
1470435438.64,503,1023,600,10,13.5
1470435438.66,496,1023,600,10,13.5
1470435438.67,503,1023,600,10,13.5
1470435438.69,503,1023,600,10,13.5
1470435438.71,503,1023,600,10,13.5
1470435438.72,503,1023,600,10,13.5
1470435438.74,503,1023,600,10,13.5
1470435438.76,502,1023,600,10,13.5
1470435438.77,503,1023,600,10,13.5
1470435438.79,503,1023,600,10,13.5
1470435438.81,503,1023,600,10,13.5
