time,leverL,nose,threshold,horizontal,vertical
1470699912.44,495,0,700,9,13
1470699912.46,494,0,700,9,13
1470699912.48,495,0,700,9,13
1470699912.49,495,0,700,9,13
1470699912.51,495,0,700,9,13
1470699912.52,494,0,700,9,13
1470699912.54,495,0,700,9,13
1470699912.56,495,0,700,9,13
1470699912.57,495,0,700,9,13
1470699912.59,495,0,700,9,13
1470699912.61,494,0,700,9,13
1470699912.62,495,0,700,9,13
1470699912.64,494,0,700,9,13
1470699912.66,495,0,700,9,13
1470699912.67,495,0,700,9,13
1470699912.69,495,0,700,9,13
1470699912.71,495,0,700,9,13
1470699912.72,495,0,700,9,13
1470699912.74,495,0,700,9,13
1470699912.76,495,0,700,9,13
1470699912.77,495,0,700,9,13
1470699912.79,495,0,700,9,13
1470699912.81,495,0,700,9,13
1470699912.82,496,0,700,9,13
1470699912.84,495,0,700,9,13
1470699912.86,494,0,700,9,13
1470699912.87,495,0,700,9,13
1470699912.89,494,0,700,9,13
1470699912.91,494,0,700,9,13
1470699912.92,495,0,700,9,13
1470699912.94,495,0,700,9,13
1470699912.96,495,0,700,9,13
1470699912.97,495,0,700,9,13
1470699912.99,494,0,700,9,13
1470699913.01,495,0,700,9,13
1470699913.02,495,0,700,9,13
1470699913.04,495,0,700,9,13
1470699913.06,495,0,700,9,13
1470699913.07,495,0,700,9,13
1470699913.09,495,0,700,9,13
1470699913.11,495,0,700,9,13
1470699913.12,495,0,700,9,13
1470699913.14,495,0,700,9,13
1470699913.16,495,0,700,9,13
1470699913.17,495,0,700,9,13
1470699913.19,495,0,700,9,13
1470699913.21,495,0,700,9,13
1470699913.22,494,0,700,9,13
1470699913.24,496,0,700,9,13
1470699913.26,494,0,700,9,13
1470699913.27,495,0,700,9,13
1470699913.29,494,0,700,9,13
1470699913.31,495,0,700,9,13
1470699913.32,495,0,700,9,13
1470699913.34,494,0,700,9,13
1470699913.36,495,0,700,9,13
1470699913.37,494,0,700,9,13
1470699913.39,495,0,700,9,13
1470699913.41,495,0,700,9,13
1470699913.42,495,0,700,9,13
1470699913.44,495,0,700,9,13
1470699913.46,495,0,700,9,13
1470699913.47,492,0,700,9,13
1470699913.49,495,0,700,9,13
1470699913.51,495,0,700,9,13
1470699913.52,495,0,700,9,13
1470699913.54,495,0,700,9,13
1470699913.56,495,0,700,9,13
1470699913.57,495,0,700,9,13
1470699913.59,495,0,700,9,13
1470699913.61,494,0,700,9,13
1470699913.62,495,0,700,9,13
1470699913.64,495,0,700,9,13
1470699913.66,495,0,700,9,13
1470699913.67,495,0,700,9,13
1470699913.69,497,0,700,9,13
1470699913.7,495,0,700,9,13
1470699913.72,495,0,700,9,13
1470699913.74,495,0,700,9,13
1470699913.76,495,0,700,9,13
1470699913.77,494,0,700,9,13
1470699913.79,495,0,700,9,13
1470699913.81,494,0,700,9,13
1470699913.82,495,0,700,9,13
1470699913.84,495,0,700,9,13
1470699913.86,494,0,700,9,13
1470699913.87,495,0,700,9,13
1470699913.89,495,0,700,9,13
1470699913.91,495,0,700,9,13
1470699913.92,499,0,700,9,13
1470699913.94,498,0,700,9,13
1470699913.96,495,0,700,9,13
1470699913.97,495,0,700,9,13
1470699913.99,494,0,700,9,13
1470699914.01,494,0,700,9,13
1470699914.02,495,0,700,9,13
1470699914.04,495,0,700,9,13
1470699914.06,495,0,700,9,13
1470699914.07,494,0,700,9,13
1470699914.09,495,0,700,9,13
1470699914.11,495,0,700,9,13
1470699914.12,495,0,700,9,13
1470699914.14,497,0,700,9,13
1470699914.16,495,0,700,9,13
1470699914.17,494,0,700,9,13
1470699914.19,495,0,700,9,13
1470699914.21,495,0,700,9,13
1470699914.22,495,0,700,9,13
1470699914.24,494,0,700,9,13
1470699914.26,495,0,700,9,13
1470699914.27,494,0,700,9,13
1470699914.29,494,0,700,9,13
1470699914.3,495,0,700,9,13
1470699914.32,495,0,700,9,13
1470699914.34,495,0,700,9,13
1470699914.35,497,0,700,9,13
1470699914.37,494,0,700,9,13
1470699914.39,495,0,700,9,13
1470699914.4,495,0,700,9,13
1470699914.42,495,0,700,9,13
1470699914.44,495,0,700,9,13
1470699914.45,495,0,700,9,13
1470699914.47,495,0,700,9,13
1470699914.49,495,0,700,9,13
1470699914.5,494,0,700,9,13
1470699914.52,494,0,700,9,13
1470699914.54,498,0,700,9,13
1470699914.55,494,0,700,9,13
1470699914.57,494,0,700,9,13
1470699914.58,495,0,700,9,13
1470699914.6,494,0,700,9,13
1470699914.62,494,0,700,9,13
1470699914.63,495,0,700,9,13
1470699914.65,494,0,700,9,13
1470699914.67,495,0,700,9,13
1470699914.68,495,0,700,9,13
1470699914.7,495,0,700,9,13
1470699914.72,494,0,700,9,13
1470699914.73,495,0,700,9,13
