time,leverL,nose,threshold,horizontal,vertical
1470273906.06,521,1023,700,10,13.5
1470273906.08,521,1023,700,10,13.5
1470273906.1,521,1023,700,10,13.5
1470273906.11,521,1023,700,10,13.5
1470273906.13,520,1023,700,10,13.5
1470273906.15,520,1023,700,10,13.5
1470273906.16,521,1023,700,10,13.5
1470273906.18,521,1023,700,10,13.5
1470273906.2,521,1023,700,10,13.5
1470273906.21,521,1023,700,10,13.5
1470273906.23,522,1023,700,10,13.5
1470273906.24,521,1023,700,10,13.5
1470273906.26,521,1023,700,10,13.5
1470273906.28,520,1023,700,10,13.5
1470273906.29,520,1023,700,10,13.5
1470273906.31,520,1023,700,10,13.5
1470273906.33,521,1023,700,10,13.5
1470273906.34,521,1023,700,10,13.5
1470273906.36,521,1023,700,10,13.5
1470273906.38,521,1023,700,10,13.5
1470273906.39,521,1023,700,10,13.5
1470273906.41,520,1023,700,10,13.5
1470273906.43,525,1023,700,10,13.5
1470273906.44,520,1023,700,10,13.5
1470273906.46,520,1023,700,10,13.5
1470273906.48,521,1023,700,10,13.5
1470273906.49,521,1023,700,10,13.5
1470273906.51,521,1023,700,10,13.5
1470273906.53,521,1023,700,10,13.5
1470273906.54,521,1023,700,10,13.5
1470273906.56,521,1023,700,10,13.5
1470273906.57,521,1023,700,10,13.5
1470273906.59,521,1023,700,10,13.5
1470273906.61,525,1023,700,10,13.5
1470273906.62,521,1023,700,10,13.5
1470273906.64,521,1023,700,10,13.5
1470273906.66,521,1023,700,10,13.5
1470273906.67,521,1023,700,10,13.5
1470273906.69,521,1023,700,10,13.5
1470273906.71,521,1023,700,10,13.5
1470273906.72,521,1023,700,10,13.5
1470273906.74,521,1023,700,10,13.5
1470273906.76,521,1023,700,10,13.5
1470273906.77,521,1023,700,10,13.5
1470273906.79,520,1023,700,10,13.5
1470273906.81,516,1023,700,10,13.5
1470273906.82,520,1023,700,10,13.5
1470273906.84,520,1023,700,10,13.5
1470273906.85,521,1023,700,10,13.5
1470273906.87,521,1023,700,10,13.5
1470273906.89,521,1023,700,10,13.5
1470273906.9,521,1023,700,10,13.5
1470273906.92,520,1023,700,10,13.5
1470273906.94,521,1023,700,10,13.5
1470273906.95,520,1023,700,10,13.5
1470273906.97,521,1023,700,10,13.5
1470273906.99,524,1023,700,10,13.5
1470273907.0,520,1023,700,10,13.5
1470273907.02,520,1023,700,10,13.5
1470273907.04,521,1023,700,10,13.5
1470273907.05,521,1023,700,10,13.5
1470273907.07,521,1023,700,10,13.5
1470273907.09,520,1023,700,10,13.5
1470273907.1,521,1023,700,10,13.5
1470273907.12,521,1023,700,10,13.5
1470273907.14,521,1023,700,10,13.5
1470273907.15,520,1023,700,10,13.5
1470273907.17,521,1023,700,10,13.5
1470273907.18,521,1023,700,10,13.5
1470273907.2,518,1023,700,10,13.5
1470273907.22,521,1023,700,10,13.5
1470273907.23,520,1023,700,10,13.5
1470273907.25,520,1023,700,10,13.5
1470273907.27,520,1023,700,10,13.5
1470273907.28,520,1023,700,10,13.5
1470273907.3,520,1023,700,10,13.5
1470273907.32,520,1023,700,10,13.5
1470273907.33,520,1023,700,10,13.5
1470273907.35,520,1023,700,10,13.5
1470273907.37,520,1023,700,10,13.5
1470273907.38,520,1023,700,10,13.5
1470273907.4,520,1023,700,10,13.5
1470273907.41,520,1023,700,10,13.5
1470273907.43,520,1023,700,10,13.5
1470273907.45,521,1023,700,10,13.5
1470273907.46,520,1023,700,10,13.5
1470273907.48,520,1023,700,10,13.5
1470273907.5,520,1023,700,10,13.5
1470273907.51,520,1023,700,10,13.5
1470273907.53,520,1023,700,10,13.5
1470273907.55,520,1023,700,10,13.5
1470273907.56,520,1023,700,10,13.5
1470273907.58,524,1023,700,10,13.5
1470273907.59,520,1023,700,10,13.5
1470273907.61,520,1023,700,10,13.5
1470273907.63,520,1023,700,10,13.5
1470273907.64,520,1023,700,10,13.5
1470273907.66,521,1023,700,10,13.5
1470273907.68,520,1023,700,10,13.5
1470273907.69,520,1023,700,10,13.5
1470273907.71,520,1023,700,10,13.5
1470273907.73,520,1023,700,10,13.5
1470273907.74,520,1023,700,10,13.5
1470273907.76,519,1023,700,10,13.5
1470273907.78,520,1023,700,10,13.5
1470273907.79,520,1023,700,10,13.5
1470273907.81,520,1023,700,10,13.5
1470273907.82,520,1023,700,10,13.5
1470273907.84,521,1023,700,10,13.5
1470273907.86,521,1023,700,10,13.5
1470273907.87,520,1023,700,10,13.5
1470273907.89,520,1023,700,10,13.5
1470273907.91,520,1023,700,10,13.5
1470273907.92,520,1023,700,10,13.5
1470273907.94,520,1023,700,10,13.5
1470273907.96,518,1023,700,10,13.5
1470273907.97,520,1023,700,10,13.5
1470273907.99,520,1023,700,10,13.5
1470273908.01,520,1023,700,10,13.5
1470273908.02,520,1023,700,10,13.5
1470273908.04,520,1023,700,10,13.5
1470273908.06,521,1023,700,10,13.5
1470273908.07,520,1023,700,10,13.5
1470273908.09,520,1023,700,10,13.5
1470273908.11,520,1023,700,10,13.5
1470273908.12,520,1023,700,10,13.5
1470273908.14,520,1023,700,10,13.5
1470273908.16,520,1023,700,10,13.5
1470273908.17,514,1023,700,10,13.5
1470273908.19,520,1023,700,10,13.5
1470273908.21,520,1023,700,10,13.5
1470273908.22,520,1023,700,10,13.5
1470273908.24,520,1023,700,10,13.5
1470273908.26,521,1023,700,10,13.5
1470273908.27,520,1023,700,10,13.5
1470273908.29,521,1023,700,10,13.5
1470273908.31,520,1023,700,10,13.5
1470273908.32,520,1023,700,10,13.5
1470273908.34,520,1023,700,10,13.5
1470273908.36,521,1023,700,10,13.5
1470273908.37,521,1023,700,10,13.5
1470273908.39,522,1023,700,10,13.5
1470273908.41,520,1023,700,10,13.5
1470273908.42,520,1023,700,10,13.5
1470273908.44,520,1023,700,10,13.5
1470273908.46,521,1023,700,10,13.5
1470273908.47,520,1023,700,10,13.5
1470273908.49,520,1023,700,10,13.5
1470273908.51,520,1023,700,10,13.5
1470273908.52,520,1023,700,10,13.5
1470273908.54,520,1023,700,10,13.5
1470273908.56,520,1023,700,10,13.5
1470273908.57,520,1023,700,10,13.5
1470273908.59,523,1023,700,10,13.5
1470273908.6,519,1023,700,10,13.5
1470273908.62,520,1023,700,10,13.5
1470273908.64,520,1023,700,10,13.5
1470273908.66,520,1023,700,10,13.5
1470273908.67,520,1023,700,10,13.5
1470273908.69,521,1023,700,10,13.5
1470273908.71,520,1023,700,10,13.5
1470273908.72,520,1023,700,10,13.5
1470273908.74,520,1023,700,10,13.5
1470273908.76,520,1023,700,10,13.5
1470273908.77,520,1023,700,10,13.5
1470273908.79,520,1023,700,10,13.5
1470273908.8,520,1023,700,10,13.5
1470273908.82,520,1023,700,10,13.5
1470273908.84,521,1023,700,10,13.5
1470273908.85,520,1023,700,10,13.5
1470273908.87,520,1023,700,10,13.5
1470273908.89,520,1023,700,10,13.5
1470273908.9,520,1023,700,10,13.5
1470273908.92,521,1023,700,10,13.5
1470273908.94,520,1023,700,10,13.5
1470273908.95,520,1023,700,10,13.5
1470273908.97,520,1023,700,10,13.5
1470273908.99,520,1023,700,10,13.5
1470273909.0,520,1023,700,10,13.5
1470273909.02,520,1023,700,10,13.5
1470273909.04,527,1023,700,10,13.5
1470273909.05,520,1023,700,10,13.5
1470273909.07,520,1023,700,10,13.5
1470273909.09,521,1023,700,10,13.5
1470273909.1,520,1023,700,10,13.5
1470273909.12,520,1023,700,10,13.5
1470273909.14,520,1023,700,10,13.5
1470273909.16,520,1023,700,10,13.5
1470273909.17,520,1023,700,10,13.5
1470273909.19,520,1023,700,10,13.5
1470273909.21,520,1023,700,10,13.5
1470273909.22,520,1023,700,10,13.5
1470273909.24,520,1023,700,10,13.5
1470273909.26,520,1023,700,10,13.5
1470273909.27,520,1023,700,10,13.5
1470273909.29,520,1023,700,10,13.5
1470273909.31,520,1023,700,10,13.5
1470273909.32,520,1023,700,10,13.5
1470273909.34,520,1023,700,10,13.5
1470273909.36,520,1023,700,10,13.5
