time,leverL,nose,threshold,horizontal,vertical
1470699285.3,540,0,700,9.5,13.5
1470699285.31,541,0,700,9.5,13.5
1470699285.33,543,0,700,9.5,13.5
1470699285.35,543,0,700,9.5,13.5
1470699285.36,543,0,700,9.5,13.5
1470699285.38,544,0,700,9.5,13.5
1470699285.39,543,0,700,9.5,13.5
1470699285.41,542,0,700,9.5,13.5
1470699285.43,540,0,700,9.5,13.5
1470699285.44,511,0,700,9.5,13.5
1470699285.46,517,0,700,9.5,13.5
1470699285.48,522,0,700,9.5,13.5
1470699285.49,525,0,700,9.5,13.5
1470699285.51,524,0,700,9.5,13.5
1470699285.53,527,0,700,9.5,13.5
1470699285.54,529,0,700,9.5,13.5
1470699285.56,531,0,700,9.5,13.5
1470699285.58,532,0,700,9.5,13.5
1470699285.59,534,0,700,9.5,13.5
1470699285.61,535,0,700,9.5,13.5
1470699285.63,536,0,700,9.5,13.5
1470699285.64,537,0,700,9.5,13.5
1470699285.66,538,0,700,9.5,13.5
1470699285.68,538,0,700,9.5,13.5
1470699285.69,539,0,700,9.5,13.5
1470699285.71,538,0,700,9.5,13.5
1470699285.73,540,0,700,9.5,13.5
1470699285.74,539,0,700,9.5,13.5
1470699285.76,539,0,700,9.5,13.5
1470699285.78,540,0,700,9.5,13.5
1470699285.79,540,0,700,9.5,13.5
1470699285.81,540,0,700,9.5,13.5
1470699285.83,540,0,700,9.5,13.5
1470699285.84,540,0,700,9.5,13.5
1470699285.86,540,0,700,9.5,13.5
1470699285.88,539,0,700,9.5,13.5
1470699285.89,540,0,700,9.5,13.5
1470699285.91,539,0,700,9.5,13.5
1470699285.93,540,0,700,9.5,13.5
1470699285.94,540,0,700,9.5,13.5
1470699285.96,535,0,700,9.5,13.5
1470699285.98,539,0,700,9.5,13.5
1470699285.99,540,0,700,9.5,13.5
1470699286.01,540,0,700,9.5,13.5
1470699286.03,539,0,700,9.5,13.5
1470699286.05,540,0,700,9.5,13.5
1470699286.06,540,0,700,9.5,13.5
1470699286.08,540,0,700,9.5,13.5
1470699286.1,540,0,700,9.5,13.5
1470699286.11,540,0,700,9.5,13.5
1470699286.13,539,0,700,9.5,13.5
