time,leverL,nose,threshold,horizontal,vertical
1470437790.97,522,1023,600,10,13.5
1470437790.99,525,1023,600,10,13.5
1470437791.01,522,1023,600,10,13.5
1470437791.02,521,1023,600,10,13.5
1470437791.04,522,1023,600,10,13.5
1470437791.05,521,1023,600,10,13.5
1470437791.07,522,1023,600,10,13.5
1470437791.09,522,1023,600,10,13.5
1470437791.1,522,1023,600,10,13.5
1470437791.12,521,1023,600,10,13.5
1470437791.14,522,1023,600,10,13.5
1470437791.15,521,1023,600,10,13.5
1470437791.17,522,1023,600,10,13.5
1470437791.19,521,1023,600,10,13.5
1470437791.2,521,1023,600,10,13.5
1470437791.22,521,1023,600,10,13.5
1470437791.24,522,1023,600,10,13.5
1470437791.25,522,1023,600,10,13.5
1470437791.27,522,1023,600,10,13.5
1470437791.28,522,1023,600,10,13.5
1470437791.3,521,1023,600,10,13.5
1470437791.32,521,1023,600,10,13.5
1470437791.33,522,1023,600,10,13.5
1470437791.35,522,1023,600,10,13.5
1470437791.37,524,1023,600,10,13.5
1470437791.38,522,1023,600,10,13.5
1470437791.4,522,1023,600,10,13.5
1470437791.42,522,1023,600,10,13.5
1470437791.43,522,1023,600,10,13.5
1470437791.45,522,1023,600,10,13.5
1470437791.47,521,1023,600,10,13.5
1470437791.48,521,1023,600,10,13.5
1470437791.5,522,1023,600,10,13.5
1470437791.51,522,1023,600,10,13.5
1470437791.53,521,1023,600,10,13.5
1470437791.55,522,1023,600,10,13.5
1470437791.56,519,1023,600,10,13.5
1470437791.58,522,1023,600,10,13.5
1470437791.6,522,1023,600,10,13.5
1470437791.61,522,1023,600,10,13.5
1470437791.63,521,1023,600,10,13.5
1470437791.65,521,1023,600,10,13.5
1470437791.66,522,1023,600,10,13.5
1470437791.68,522,1023,600,10,13.5
1470437791.7,522,1023,600,10,13.5
1470437791.71,522,1023,600,10,13.5
1470437791.73,522,1023,600,10,13.5
1470437791.74,523,1023,600,10,13.5
1470437791.76,522,1023,600,10,13.5
1470437791.78,522,1023,600,10,13.5
1470437791.79,522,1023,600,10,13.5
1470437791.81,522,1023,600,10,13.5
1470437791.83,522,1023,600,10,13.5
1470437791.84,522,1023,600,10,13.5
1470437791.86,522,1023,600,10,13.5
1470437791.88,522,1023,600,10,13.5
1470437791.89,522,1023,600,10,13.5
1470437791.91,521,1023,600,10,13.5
1470437791.93,525,1023,600,10,13.5
1470437791.94,523,1023,600,10,13.5
1470437791.96,521,1023,600,10,13.5
1470437791.97,522,1023,600,10,13.5
1470437791.99,522,1023,600,10,13.5
1470437792.01,522,1023,600,10,13.5
1470437792.02,522,1023,600,10,13.5
1470437792.04,522,1023,600,10,13.5
1470437792.06,522,1023,600,10,13.5
1470437792.07,522,1023,600,10,13.5
1470437792.09,522,1023,600,10,13.5
1470437792.11,522,1023,600,10,13.5
1470437792.13,522,1023,600,10,13.5
1470437792.14,522,1023,600,10,13.5
1470437792.16,522,1023,600,10,13.5
1470437792.18,525,1023,600,10,13.5
1470437792.19,526,1023,600,10,13.5
1470437792.21,521,1023,600,10,13.5
1470437792.23,521,1023,600,10,13.5
1470437792.24,521,1023,600,10,13.5
1470437792.26,522,1023,600,10,13.5
1470437792.28,522,1023,600,10,13.5
1470437792.29,522,1023,600,10,13.5
1470437792.31,522,1023,600,10,13.5
1470437792.33,522,1023,600,10,13.5
1470437792.34,522,1023,600,10,13.5
1470437792.36,522,1023,600,10,13.5
1470437792.38,522,1023,600,10,13.5
1470437792.39,522,1023,600,10,13.5
1470437792.41,526,1023,600,10,13.5
1470437792.43,526,1023,600,10,13.5
1470437792.44,522,1023,600,10,13.5
1470437792.46,522,1023,600,10,13.5
1470437792.48,522,1023,600,10,13.5
1470437792.49,522,1023,600,10,13.5
1470437792.51,522,1023,600,10,13.5
1470437792.53,522,1023,600,10,13.5
1470437792.54,522,1023,600,10,13.5
1470437792.56,522,1023,600,10,13.5
1470437792.58,522,1023,600,10,13.5
1470437792.59,522,1023,600,10,13.5
1470437792.61,521,1023,600,10,13.5
1470437792.63,522,1023,600,10,13.5
1470437792.64,514,1023,600,10,13.5
1470437792.66,522,1023,600,10,13.5
1470437792.68,522,1023,600,10,13.5
1470437792.69,522,1023,600,10,13.5
1470437792.71,522,1023,600,10,13.5
1470437792.73,521,1023,600,10,13.5
1470437792.74,522,1023,600,10,13.5
