time,leverL,nose,threshold,horizontal,vertical
1470270067.06,500,1023,700,10,13.5
1470270067.07,500,1023,700,10,13.5
1470270067.09,500,1023,700,10,13.5
1470270067.11,501,1023,700,10,13.5
1470270067.12,500,1023,700,10,13.5
1470270067.14,500,1023,700,10,13.5
1470270067.16,500,1023,700,10,13.5
1470270067.17,501,1023,700,10,13.5
1470270067.19,501,1023,700,10,13.5
1470270067.21,500,1023,700,10,13.5
1470270067.22,500,1023,700,10,13.5
1470270067.24,500,1023,700,10,13.5
1470270067.25,501,1023,700,10,13.5
1470270067.27,501,1023,700,10,13.5
1470270067.29,500,1023,700,10,13.5
1470270067.3,501,1023,700,10,13.5
1470270067.32,500,1023,700,10,13.5
1470270067.34,500,1023,700,10,13.5
1470270067.35,500,1023,700,10,13.5
1470270067.37,503,1023,700,10,13.5
1470270067.39,501,1023,700,10,13.5
1470270067.4,500,1023,700,10,13.5
1470270067.42,500,1023,700,10,13.5
1470270067.44,501,1023,700,10,13.5
1470270067.45,500,1023,700,10,13.5
1470270067.47,501,1023,700,10,13.5
1470270067.49,501,1023,700,10,13.5
1470270067.5,501,1023,700,10,13.5
1470270067.52,501,1023,700,10,13.5
1470270067.53,501,1023,700,10,13.5
1470270067.55,505,1023,700,10,13.5
1470270067.57,500,1023,700,10,13.5
1470270067.58,501,1023,700,10,13.5
1470270067.6,501,1023,700,10,13.5
1470270067.62,500,1023,700,10,13.5
1470270067.63,502,1023,700,10,13.5
1470270067.65,501,1023,700,10,13.5
1470270067.67,501,1023,700,10,13.5
1470270067.68,501,1023,700,10,13.5
1470270067.7,500,1023,700,10,13.5
1470270067.72,500,1023,700,10,13.5
1470270067.73,501,1023,700,10,13.5
1470270067.75,495,1023,700,10,13.5
1470270067.77,501,1023,700,10,13.5
1470270067.78,501,1023,700,10,13.5
1470270067.8,501,1023,700,10,13.5
1470270067.82,501,1023,700,10,13.5
1470270067.83,501,1023,700,10,13.5
1470270067.85,501,1023,700,10,13.5
1470270067.86,501,1023,700,10,13.5
1470270067.88,501,1023,700,10,13.5
1470270067.9,501,1023,700,10,13.5
1470270067.91,501,1023,700,10,13.5
1470270067.93,501,1023,700,10,13.5
1470270067.95,499,1023,700,10,13.5
1470270067.96,500,1023,700,10,13.5
1470270067.98,501,1023,700,10,13.5
1470270068.0,501,1023,700,10,13.5
1470270068.01,501,1023,700,10,13.5
1470270068.03,501,1023,700,10,13.5
1470270068.05,501,1023,700,10,13.5
1470270068.06,501,1023,700,10,13.5
1470270068.08,502,1023,700,10,13.5
1470270068.1,502,1023,700,10,13.5
1470270068.11,501,1023,700,10,13.5
1470270068.13,501,1023,700,10,13.5
1470270068.15,501,1023,700,10,13.5
1470270068.17,501,1023,700,10,13.5
1470270068.18,502,1023,700,10,13.5
1470270068.2,497,1023,700,10,13.5
1470270068.22,502,1023,700,10,13.5
1470270068.23,501,1023,700,10,13.5
1470270068.25,502,1023,700,10,13.5
1470270068.27,502,1023,700,10,13.5
1470270068.28,501,1023,700,10,13.5
1470270068.3,501,1023,700,10,13.5
1470270068.32,502,1023,700,10,13.5
1470270068.33,502,1023,700,10,13.5
1470270068.35,501,1023,700,10,13.5
1470270068.37,502,1023,700,10,13.5
1470270068.38,501,1023,700,10,13.5
1470270068.4,502,1023,700,10,13.5
1470270068.42,522,1023,700,10,13.5
1470270068.43,531,1023,700,10,13.5
1470270068.45,537,1023,700,10,13.5
1470270068.47,546,1023,700,10,13.5
1470270068.48,556,1023,700,10,13.5
1470270068.5,572,1023,700,10,13.5
1470270068.52,607,1023,700,10,13.5
1470270068.53,658,1023,700,10,13.5
1470270068.55,695,1023,700,10,13.5
1470270068.57,714,1023,700,10,13.5
