time,leverL,nose,threshold,horizontal,vertical
1470336055.64,504,1023,700,10,13.5
1470336055.65,505,1023,700,10,13.5
1470336055.67,504,1023,700,10,13.5
1470336055.69,504,1023,700,10,13.5
1470336055.7,504,1023,700,10,13.5
1470336055.72,505,1023,700,10,13.5
1470336055.74,504,1023,700,10,13.5
1470336055.75,504,1023,700,10,13.5
1470336055.77,504,1023,700,10,13.5
1470336055.79,504,1023,700,10,13.5
1470336055.8,504,1023,700,10,13.5
1470336055.82,504,1023,700,10,13.5
1470336055.84,508,1023,700,10,13.5
1470336055.85,505,1023,700,10,13.5
1470336055.87,504,1023,700,10,13.5
1470336055.89,504,1023,700,10,13.5
1470336055.9,504,1023,700,10,13.5
1470336055.92,504,1023,700,10,13.5
1470336055.94,504,1023,700,10,13.5
1470336055.95,505,1023,700,10,13.5
1470336055.97,504,1023,700,10,13.5
1470336055.99,504,1023,700,10,13.5
1470336056.0,504,1023,700,10,13.5
1470336056.02,504,1023,700,10,13.5
1470336056.04,504,1023,700,10,13.5
1470336056.05,505,1023,700,10,13.5
1470336056.07,504,1023,700,10,13.5
1470336056.09,504,1023,700,10,13.5
1470336056.1,504,1023,700,10,13.5
1470336056.12,504,1023,700,10,13.5
1470336056.14,504,1023,700,10,13.5
1470336056.15,504,1023,700,10,13.5
1470336056.17,504,1023,700,10,13.5
1470336056.19,504,1023,700,10,13.5
1470336056.2,505,1023,700,10,13.5
1470336056.22,504,1023,700,10,13.5
1470336056.24,504,1023,700,10,13.5
1470336056.25,507,1023,700,10,13.5
1470336056.27,504,1023,700,10,13.5
1470336056.28,505,1023,700,10,13.5
1470336056.3,505,1023,700,10,13.5
1470336056.32,505,1023,700,10,13.5
1470336056.33,505,1023,700,10,13.5
1470336056.35,504,1023,700,10,13.5
1470336056.37,505,1023,700,10,13.5
1470336056.38,504,1023,700,10,13.5
1470336056.4,504,1023,700,10,13.5
1470336056.42,505,1023,700,10,13.5
1470336056.43,504,1023,700,10,13.5
1470336056.45,504,1023,700,10,13.5
1470336056.47,505,1023,700,10,13.5
1470336056.48,505,1023,700,10,13.5
1470336056.5,505,1023,700,10,13.5
1470336056.51,504,1023,700,10,13.5
1470336056.53,504,1023,700,10,13.5
1470336056.55,504,1023,700,10,13.5
1470336056.56,505,1023,700,10,13.5
1470336056.58,504,1023,700,10,13.5
1470336056.6,504,1023,700,10,13.5
1470336056.61,505,1023,700,10,13.5
1470336056.63,507,1023,700,10,13.5
1470336056.65,504,1023,700,10,13.5
1470336056.66,504,1023,700,10,13.5
1470336056.68,505,1023,700,10,13.5
1470336056.69,504,1023,700,10,13.5
1470336056.71,504,1023,700,10,13.5
1470336056.73,504,1023,700,10,13.5
1470336056.74,504,1023,700,10,13.5
1470336056.76,504,1023,700,10,13.5
1470336056.78,505,1023,700,10,13.5
1470336056.79,504,1023,700,10,13.5
1470336056.81,500,1023,700,10,13.5
1470336056.83,504,1023,700,10,13.5
1470336056.84,504,1023,700,10,13.5
1470336056.86,504,1023,700,10,13.5
1470336056.88,504,1023,700,10,13.5
1470336056.89,504,1023,700,10,13.5
1470336056.91,504,1023,700,10,13.5
1470336056.92,504,1023,700,10,13.5
1470336056.94,505,1023,700,10,13.5
1470336056.96,505,1023,700,10,13.5
1470336056.97,504,1023,700,10,13.5
1470336056.99,508,1023,700,10,13.5
1470336057.01,509,1023,700,10,13.5
1470336057.02,504,1023,700,10,13.5
1470336057.04,504,1023,700,10,13.5
1470336057.06,504,1023,700,10,13.5
1470336057.07,504,1023,700,10,13.5
1470336057.09,505,1023,700,10,13.5
1470336057.11,504,1023,700,10,13.5
1470336057.12,504,1023,700,10,13.5
1470336057.14,504,1023,700,10,13.5
1470336057.15,504,1023,700,10,13.5
1470336057.17,504,1023,700,10,13.5
1470336057.19,508,1023,700,10,13.5
1470336057.2,504,1023,700,10,13.5
1470336057.22,504,1023,700,10,13.5
1470336057.24,504,1023,700,10,13.5
1470336057.25,504,1023,700,10,13.5
1470336057.27,504,1023,700,10,13.5
1470336057.29,504,1023,700,10,13.5
1470336057.3,504,1023,700,10,13.5
1470336057.32,504,1023,700,10,13.5
1470336057.33,505,1023,700,10,13.5
1470336057.35,504,1023,700,10,13.5
1470336057.37,508,1023,700,10,13.5
1470336057.38,504,1023,700,10,13.5
1470336057.4,504,1023,700,10,13.5
1470336057.42,505,1023,700,10,13.5
1470336057.43,504,1023,700,10,13.5
1470336057.45,504,1023,700,10,13.5
1470336057.47,504,1023,700,10,13.5
1470336057.48,504,1023,700,10,13.5
1470336057.5,504,1023,700,10,13.5
1470336057.52,505,1023,700,10,13.5
1470336057.53,505,1023,700,10,13.5
1470336057.55,504,1023,700,10,13.5
1470336057.56,506,1023,700,10,13.5
1470336057.58,505,1023,700,10,13.5
1470336057.6,505,1023,700,10,13.5
1470336057.61,504,1023,700,10,13.5
1470336057.63,504,1023,700,10,13.5
1470336057.65,504,1023,700,10,13.5
1470336057.66,504,1023,700,10,13.5
1470336057.68,504,1023,700,10,13.5
1470336057.7,505,1023,700,10,13.5
1470336057.71,504,1023,700,10,13.5
1470336057.73,505,1023,700,10,13.5
1470336057.75,505,1023,700,10,13.5
1470336057.76,504,1023,700,10,13.5
1470336057.78,504,1023,700,10,13.5
1470336057.79,505,1023,700,10,13.5
1470336057.81,505,1023,700,10,13.5
1470336057.83,504,1023,700,10,13.5
1470336057.84,505,1023,700,10,13.5
1470336057.86,504,1023,700,10,13.5
1470336057.88,504,1023,700,10,13.5
1470336057.89,505,1023,700,10,13.5
1470336057.91,504,1023,700,10,13.5
1470336057.93,498,1023,700,10,13.5
1470336057.94,508,1023,700,10,13.5
1470336057.96,504,1023,700,10,13.5
1470336057.98,504,1023,700,10,13.5
1470336057.99,504,1023,700,10,13.5
1470336058.01,504,1023,700,10,13.5
1470336058.02,504,1023,700,10,13.5
1470336058.04,504,1023,700,10,13.5
1470336058.06,504,1023,700,10,13.5
1470336058.07,505,1023,700,10,13.5
1470336058.09,504,1023,700,10,13.5
1470336058.11,505,1023,700,10,13.5
1470336058.12,505,1023,700,10,13.5
1470336058.14,504,1023,700,10,13.5
1470336058.16,504,1023,700,10,13.5
1470336058.17,504,1023,700,10,13.5
