time,leverL,nose,threshold,horizontal,vertical
1470419820.09,503,1023,600,10,13.5
1470419820.1,504,1023,600,10,13.5
1470419820.12,503,1023,600,10,13.5
1470419820.14,504,1023,600,10,13.5
1470419820.15,504,1023,600,10,13.5
1470419820.17,505,1023,600,10,13.5
1470419820.19,504,1023,600,10,13.5
1470419820.21,504,1023,600,10,13.5
1470419820.22,503,1023,600,10,13.5
1470419820.24,504,1023,600,10,13.5
1470419820.26,504,1023,600,10,13.5
1470419820.27,504,1023,600,10,13.5
1470419820.29,504,1023,600,10,13.5
1470419820.31,503,1023,600,10,13.5
1470419820.32,503,1023,600,10,13.5
1470419820.34,503,1023,600,10,13.5
1470419820.36,503,1023,600,10,13.5
1470419820.37,503,1023,600,10,13.5
1470419820.39,504,1023,600,10,13.5
1470419820.41,507,1023,600,10,13.5
1470419820.42,503,1023,600,10,13.5
1470419820.44,503,1023,600,10,13.5
1470419820.46,504,1023,600,10,13.5
1470419820.47,503,1023,600,10,13.5
1470419820.49,503,1023,600,10,13.5
1470419820.5,504,1023,600,10,13.5
1470419820.52,503,1023,600,10,13.5
1470419820.54,503,1023,600,10,13.5
1470419820.55,503,1023,600,10,13.5
1470419820.57,503,1023,600,10,13.5
1470419820.59,503,1023,600,10,13.5
1470419820.6,500,1023,600,10,13.5
1470419820.62,507,1023,600,10,13.5
1470419820.64,503,1023,600,10,13.5
1470419820.65,504,1023,600,10,13.5
1470419820.67,504,1023,600,10,13.5
1470419820.69,503,1023,600,10,13.5
1470419820.7,504,1023,600,10,13.5
1470419820.72,504,1023,600,10,13.5
1470419820.74,504,1023,600,10,13.5
1470419820.75,503,1023,600,10,13.5
1470419820.77,503,1023,600,10,13.5
1470419820.79,503,1023,600,10,13.5
1470419820.8,503,1023,600,10,13.5
1470419820.82,502,1023,600,10,13.5
1470419820.84,499,1023,600,10,13.5
1470419820.85,504,1023,600,10,13.5
1470419820.87,503,1023,600,10,13.5
1470419820.89,503,1023,600,10,13.5
1470419820.9,504,1023,600,10,13.5
1470419820.92,503,1023,600,10,13.5
1470419820.94,503,1023,600,10,13.5
1470419820.95,503,1023,600,10,13.5
1470419820.97,503,1023,600,10,13.5
1470419820.99,504,1023,600,10,13.5
1470419821.0,504,1023,600,10,13.5
1470419821.02,503,1023,600,10,13.5
1470419821.04,505,1023,600,10,13.5
1470419821.05,503,1023,600,10,13.5
1470419821.07,504,1023,600,10,13.5
1470419821.09,503,1023,600,10,13.5
1470419821.1,503,1023,600,10,13.5
1470419821.12,503,1023,600,10,13.5
1470419821.14,504,1023,600,10,13.5
1470419821.15,503,1023,600,10,13.5
1470419821.17,503,1023,600,10,13.5
1470419821.19,503,1023,600,10,13.5
1470419821.2,503,1023,600,10,13.5
1470419821.22,503,1023,600,10,13.5
1470419821.24,504,1023,600,10,13.5
1470419821.25,505,1023,600,10,13.5
1470419821.27,503,1023,600,10,13.5
1470419821.28,503,1023,600,10,13.5
1470419821.3,504,1023,600,10,13.5
1470419821.32,503,1023,600,10,13.5
1470419821.33,504,1023,600,10,13.5
1470419821.35,503,1023,600,10,13.5
1470419821.37,503,1023,600,10,13.5
1470419821.38,503,1023,600,10,13.5
1470419821.4,503,1023,600,10,13.5
1470419821.42,504,1023,600,10,13.5
1470419821.43,504,1023,600,10,13.5
1470419821.45,505,1023,600,10,13.5
1470419821.47,503,1023,600,10,13.5
1470419821.48,503,1023,600,10,13.5
1470419821.5,504,1023,600,10,13.5
1470419821.51,503,1023,600,10,13.5
1470419821.53,504,1023,600,10,13.5
1470419821.55,503,1023,600,10,13.5
1470419821.56,504,1023,600,10,13.5
1470419821.58,503,1023,600,10,13.5
1470419821.6,504,1023,600,10,13.5
1470419821.61,503,1023,600,10,13.5
1470419821.63,506,1023,600,10,13.5
1470419821.65,504,1023,600,10,13.5
1470419821.66,503,1023,600,10,13.5
1470419821.68,504,1023,600,10,13.5
1470419821.7,504,1023,600,10,13.5
1470419821.71,503,1023,600,10,13.5
1470419821.73,504,1023,600,10,13.5
1470419821.75,503,1023,600,10,13.5
1470419821.76,504,1023,600,10,13.5
1470419821.78,503,1023,600,10,13.5
1470419821.79,503,1023,600,10,13.5
1470419821.81,503,1023,600,10,13.5
1470419821.83,507,1023,600,10,13.5
1470419821.84,504,1023,600,10,13.5
1470419821.86,504,1023,600,10,13.5
1470419821.88,504,1023,600,10,13.5
1470419821.89,503,1023,600,10,13.5
1470419821.91,504,1023,600,10,13.5
1470419821.93,503,1023,600,10,13.5
1470419821.94,503,1023,600,10,13.5
1470419821.96,504,1023,600,10,13.5
1470419821.97,503,1023,600,10,13.5
1470419821.99,503,1023,600,10,13.5
1470419822.01,505,1023,600,10,13.5
1470419822.02,504,1023,600,10,13.5
1470419822.04,504,1023,600,10,13.5
1470419822.06,503,1023,600,10,13.5
1470419822.07,503,1023,600,10,13.5
1470419822.09,503,1023,600,10,13.5
1470419822.11,504,1023,600,10,13.5
1470419822.12,503,1023,600,10,13.5
1470419822.14,503,1023,600,10,13.5
1470419822.16,504,1023,600,10,13.5
1470419822.17,504,1023,600,10,13.5
1470419822.19,504,1023,600,10,13.5
1470419822.21,502,1023,600,10,13.5
1470419822.22,503,1023,600,10,13.5
1470419822.24,503,1023,600,10,13.5
1470419822.26,503,1023,600,10,13.5
1470419822.27,503,1023,600,10,13.5
1470419822.29,504,1023,600,10,13.5
1470419822.3,504,1023,600,10,13.5
1470419822.32,503,1023,600,10,13.5
1470419822.34,504,1023,600,10,13.5
1470419822.35,503,1023,600,10,13.5
1470419822.37,504,1023,600,10,13.5
1470419822.39,504,1023,600,10,13.5
1470419822.4,506,1023,600,10,13.5
1470419822.42,503,1023,600,10,13.5
1470419822.44,504,1023,600,10,13.5
1470419822.45,504,1023,600,10,13.5
1470419822.47,503,1023,600,10,13.5
1470419822.49,503,1023,600,10,13.5
1470419822.5,504,1023,600,10,13.5
1470419822.52,503,1023,600,10,13.5
1470419822.54,503,1023,600,10,13.5
1470419822.55,503,1023,600,10,13.5
1470419822.57,503,1023,600,10,13.5
1470419822.58,503,1023,600,10,13.5
1470419822.6,503,1023,600,10,13.5
1470419822.62,503,1023,600,10,13.5
1470419822.63,504,1023,600,10,13.5
1470419822.65,503,1023,600,10,13.5
1470419822.67,503,1023,600,10,13.5
1470419822.68,503,1023,600,10,13.5
1470419822.7,504,1023,600,10,13.5
1470419822.72,503,1023,600,10,13.5
1470419822.73,504,1023,600,10,13.5
1470419822.75,504,1023,600,10,13.5
1470419822.76,496,1023,600,10,13.5
1470419822.78,505,1023,600,10,13.5
1470419822.8,503,1023,600,10,13.5
1470419822.81,504,1023,600,10,13.5
1470419822.83,503,1023,600,10,13.5
1470419822.85,503,1023,600,10,13.5
1470419822.86,504,1023,600,10,13.5
1470419822.88,503,1023,600,10,13.5
1470419822.9,503,1023,600,10,13.5
1470419822.91,504,1023,600,10,13.5
1470419822.93,504,1023,600,10,13.5
1470419822.95,503,1023,600,10,13.5
1470419822.96,497,1023,600,10,13.5
1470419822.98,503,1023,600,10,13.5
1470419822.99,503,1023,600,10,13.5
1470419823.01,503,1023,600,10,13.5
1470419823.03,503,1023,600,10,13.5
1470419823.04,503,1023,600,10,13.5
1470419823.06,504,1023,600,10,13.5
1470419823.08,503,1023,600,10,13.5
1470419823.09,503,1023,600,10,13.5
1470419823.11,503,1023,600,10,13.5
1470419823.13,503,1023,600,10,13.5
1470419823.14,504,1023,600,10,13.5
1470419823.16,503,1023,600,10,13.5
1470419823.18,503,1023,600,10,13.5
1470419823.19,503,1023,600,10,13.5
1470419823.21,503,1023,600,10,13.5
1470419823.22,503,1023,600,10,13.5
1470419823.24,503,1023,600,10,13.5
1470419823.26,503,1023,600,10,13.5
1470419823.27,503,1023,600,10,13.5
1470419823.29,503,1023,600,10,13.5
1470419823.31,503,1023,600,10,13.5
1470419823.32,503,1023,600,10,13.5
1470419823.34,507,1023,600,10,13.5
1470419823.36,503,1023,600,10,13.5
1470419823.37,504,1023,600,10,13.5
1470419823.39,503,1023,600,10,13.5
1470419823.41,503,1023,600,10,13.5
1470419823.42,503,1023,600,10,13.5
1470419823.44,504,1023,600,10,13.5
1470419823.45,504,1023,600,10,13.5
1470419823.47,503,1023,600,10,13.5
1470419823.49,503,1023,600,10,13.5
1470419823.5,503,1023,600,10,13.5
1470419823.52,504,1023,600,10,13.5
1470419823.54,507,1023,600,10,13.5
1470419823.55,503,1023,600,10,13.5
1470419823.57,503,1023,600,10,13.5
1470419823.59,503,1023,600,10,13.5
1470419823.6,504,1023,600,10,13.5
1470419823.62,503,1023,600,10,13.5
1470419823.64,503,1023,600,10,13.5
1470419823.65,504,1023,600,10,13.5
1470419823.67,503,1023,600,10,13.5
1470419823.68,503,1023,600,10,13.5
1470419823.7,504,1023,600,10,13.5
1470419823.72,508,1023,600,10,13.5
1470419823.73,503,1023,600,10,13.5
1470419823.75,504,1023,600,10,13.5
1470419823.77,503,1023,600,10,13.5
1470419823.78,503,1023,600,10,13.5
1470419823.8,503,1023,600,10,13.5
1470419823.82,503,1023,600,10,13.5
1470419823.83,503,1023,600,10,13.5
1470419823.85,504,1023,600,10,13.5
1470419823.87,504,1023,600,10,13.5
1470419823.88,504,1023,600,10,13.5
1470419823.9,502,1023,600,10,13.5
1470419823.91,503,1023,600,10,13.5
1470419823.93,503,1023,600,10,13.5
1470419823.95,503,1023,600,10,13.5
1470419823.96,503,1023,600,10,13.5
1470419823.98,503,1023,600,10,13.5
1470419824.0,504,1023,600,10,13.5
1470419824.01,503,1023,600,10,13.5
1470419824.03,503,1023,600,10,13.5
1470419824.05,503,1023,600,10,13.5
1470419824.06,503,1023,600,10,13.5
1470419824.08,503,1023,600,10,13.5
1470419824.1,506,1023,600,10,13.5
1470419824.11,503,1023,600,10,13.5
1470419824.13,504,1023,600,10,13.5
1470419824.15,503,1023,600,10,13.5
1470419824.16,504,1023,600,10,13.5
1470419824.18,503,1023,600,10,13.5
1470419824.2,503,1023,600,10,13.5
1470419824.21,504,1023,600,10,13.5
1470419824.23,503,1023,600,10,13.5
1470419824.25,504,1023,600,10,13.5
1470419824.26,504,1023,600,10,13.5
1470419824.28,503,1023,600,10,13.5
1470419824.3,504,1023,600,10,13.5
1470419824.31,504,1023,600,10,13.5
1470419824.33,507,1023,600,10,13.5
1470419824.35,500,1023,600,10,13.5
1470419824.36,504,1023,600,10,13.5
1470419824.38,503,1023,600,10,13.5
1470419824.4,503,1023,600,10,13.5
1470419824.41,504,1023,600,10,13.5
1470419824.43,504,1023,600,10,13.5
1470419824.45,504,1023,600,10,13.5
1470419824.46,503,1023,600,10,13.5
1470419824.48,504,1023,600,10,13.5
1470419824.5,504,1023,600,10,13.5
1470419824.51,504,1023,600,10,13.5
1470419824.53,503,1023,600,10,13.5
1470419824.55,504,1023,600,10,13.5
1470419824.56,506,1023,600,10,13.5
1470419824.58,506,1023,600,10,13.5
1470419824.6,504,1023,600,10,13.5
1470419824.61,503,1023,600,10,13.5
1470419824.63,504,1023,600,10,13.5
1470419824.65,504,1023,600,10,13.5
1470419824.66,503,1023,600,10,13.5
1470419824.68,503,1023,600,10,13.5
1470419824.7,504,1023,600,10,13.5
1470419824.71,503,1023,600,10,13.5
1470419824.73,504,1023,600,10,13.5
1470419824.75,504,1023,600,10,13.5
1470419824.76,503,1023,600,10,13.5
1470419824.78,504,1023,600,10,13.5
1470419824.8,507,1023,600,10,13.5
1470419824.81,504,1023,600,10,13.5
1470419824.83,503,1023,600,10,13.5
1470419824.85,503,1023,600,10,13.5
1470419824.86,503,1023,600,10,13.5
1470419824.88,503,1023,600,10,13.5
1470419824.9,504,1023,600,10,13.5
1470419824.91,504,1023,600,10,13.5
1470419824.93,504,1023,600,10,13.5
1470419824.95,503,1023,600,10,13.5
1470419824.96,504,1023,600,10,13.5
1470419824.98,504,1023,600,10,13.5
1470419825.0,503,1023,600,10,13.5
1470419825.01,504,1023,600,10,13.5
1470419825.03,496,1023,600,10,13.5
1470419825.05,503,1023,600,10,13.5
1470419825.06,503,1023,600,10,13.5
1470419825.08,504,1023,600,10,13.5
1470419825.1,503,1023,600,10,13.5
1470419825.11,503,1023,600,10,13.5
1470419825.13,504,1023,600,10,13.5
1470419825.15,503,1023,600,10,13.5
1470419825.16,503,1023,600,10,13.5
1470419825.18,504,1023,600,10,13.5
1470419825.2,504,1023,600,10,13.5
1470419825.22,503,1023,600,10,13.5
1470419825.23,503,1023,600,10,13.5
1470419825.25,503,1023,600,10,13.5
1470419825.27,500,1023,600,10,13.5
1470419825.28,503,1023,600,10,13.5
1470419825.3,503,1023,600,10,13.5
1470419825.32,503,1023,600,10,13.5
1470419825.33,503,1023,600,10,13.5
1470419825.35,504,1023,600,10,13.5
1470419825.36,504,1023,600,10,13.5
1470419825.38,503,1023,600,10,13.5
1470419825.4,503,1023,600,10,13.5
1470419825.41,503,1023,600,10,13.5
1470419825.43,504,1023,600,10,13.5
1470419825.45,503,1023,600,10,13.5
1470419825.46,502,1023,600,10,13.5
1470419825.48,503,1023,600,10,13.5
1470419825.5,503,1023,600,10,13.5
1470419825.51,503,1023,600,10,13.5
