time,leverL,nose,threshold,horizontal,vertical
1470690519.51,0,0,600,10,13.5
1470690519.53,0,0,600,10,13.5
1470690519.55,0,0,600,10,13.5
1470690519.56,0,0,600,10,13.5
1470690519.58,0,0,600,10,13.5
1470690519.6,0,0,600,10,13.5
1470690519.61,0,0,600,10,13.5
1470690519.63,0,0,600,10,13.5
1470690519.65,0,0,600,10,13.5
1470690519.66,0,0,600,10,13.5
1470690519.68,0,0,600,10,13.5
1470690519.7,0,0,600,10,13.5
1470690519.72,0,0,600,10,13.5
1470690519.73,0,0,600,10,13.5
1470690519.75,0,0,600,10,13.5
1470690519.77,0,0,600,10,13.5
1470690519.78,0,0,600,10,13.5
1470690519.8,0,0,600,10,13.5
1470690519.82,0,0,600,10,13.5
1470690519.83,0,0,600,10,13.5
1470690519.85,0,0,600,10,13.5
1470690519.87,0,0,600,10,13.5
1470690519.88,0,0,600,10,13.5
1470690519.9,0,0,600,10,13.5
1470690519.92,0,0,600,10,13.5
1470690519.93,0,0,600,10,13.5
1470690519.95,0,0,600,10,13.5
1470690519.97,0,0,600,10,13.5
1470690519.98,0,0,600,10,13.5
1470690520.0,0,0,600,10,13.5
1470690520.02,0,0,600,10,13.5
1470690520.03,0,0,600,10,13.5
1470690520.05,0,0,600,10,13.5
1470690520.07,0,0,600,10,13.5
1470690520.08,0,0,600,10,13.5
1470690520.1,0,0,600,10,13.5
1470690520.12,0,0,600,10,13.5
1470690520.13,0,0,600,10,13.5
1470690520.15,0,0,600,10,13.5
1470690520.17,0,0,600,10,13.5
1470690520.18,0,0,600,10,13.5
1470690520.2,0,0,600,10,13.5
1470690520.22,0,0,600,10,13.5
1470690520.23,0,0,600,10,13.5
1470690520.25,0,0,600,10,13.5
1470690520.27,0,0,600,10,13.5
1470690520.28,0,0,600,10,13.5
1470690520.3,0,0,600,10,13.5
1470690520.32,0,0,600,10,13.5
1470690520.33,0,0,600,10,13.5
1470690520.35,0,0,600,10,13.5
1470690520.37,0,0,600,10,13.5
1470690520.38,0,0,600,10,13.5
1470690520.4,0,0,600,10,13.5
1470690520.42,0,0,600,10,13.5
1470690520.43,0,0,600,10,13.5
1470690520.45,0,0,600,10,13.5
1470690520.47,0,0,600,10,13.5
1470690520.48,0,0,600,10,13.5
1470690520.5,0,0,600,10,13.5
1470690520.52,0,0,600,10,13.5
1470690520.53,0,0,600,10,13.5
1470690520.55,0,0,600,10,13.5
1470690520.57,0,0,600,10,13.5
1470690520.58,0,0,600,10,13.5
1470690520.6,0,0,600,10,13.5
1470690520.62,0,0,600,10,13.5
1470690520.63,0,0,600,10,13.5
1470690520.65,0,0,600,10,13.5
1470690520.67,0,0,600,10,13.5
1470690520.68,0,0,600,10,13.5
1470690520.7,0,0,600,10,13.5
1470690520.72,0,0,600,10,13.5
1470690520.73,0,0,600,10,13.5
1470690520.75,0,0,600,10,13.5
1470690520.77,0,0,600,10,13.5
1470690520.78,0,0,600,10,13.5
1470690520.8,0,0,600,10,13.5
1470690520.82,0,0,600,10,13.5
1470690520.83,0,0,600,10,13.5
1470690520.85,0,0,600,10,13.5
1470690520.87,0,0,600,10,13.5
1470690520.88,0,0,600,10,13.5
1470690520.9,0,0,600,10,13.5
1470690520.92,0,0,600,10,13.5
1470690520.93,0,0,600,10,13.5
1470690520.95,0,0,600,10,13.5
1470690520.97,0,0,600,10,13.5
1470690520.98,0,0,600,10,13.5
1470690521.0,0,0,600,10,13.5
1470690521.02,0,0,600,10,13.5
1470690521.03,0,0,600,10,13.5
1470690521.05,0,0,600,10,13.5
1470690521.07,0,0,600,10,13.5
1470690521.08,0,0,600,10,13.5
1470690521.1,0,0,600,10,13.5
1470690521.12,0,0,600,10,13.5
1470690521.13,0,0,600,10,13.5
1470690521.15,0,0,600,10,13.5
1470690521.17,0,0,600,10,13.5
1470690521.18,0,0,600,10,13.5
1470690521.2,0,0,600,10,13.5
1470690521.22,0,0,600,10,13.5
1470690521.23,0,0,600,10,13.5
1470690521.25,0,0,600,10,13.5
1470690521.27,0,0,600,10,13.5
1470690521.28,0,0,600,10,13.5
1470690521.3,0,0,600,10,13.5
1470690521.32,0,0,600,10,13.5
1470690521.33,0,0,600,10,13.5
1470690521.35,0,0,600,10,13.5
1470690521.37,0,0,600,10,13.5
1470690521.38,0,0,600,10,13.5
1470690521.4,0,0,600,10,13.5
1470690521.42,0,0,600,10,13.5
1470690521.43,0,0,600,10,13.5
1470690521.45,0,0,600,10,13.5
1470690521.47,0,0,600,10,13.5
1470690521.48,0,0,600,10,13.5
1470690521.5,0,0,600,10,13.5
1470690521.52,0,0,600,10,13.5
1470690521.53,0,0,600,10,13.5
1470690521.55,0,0,600,10,13.5
1470690521.57,0,0,600,10,13.5
1470690521.59,0,0,600,10,13.5
1470690521.6,0,0,600,10,13.5
1470690521.62,0,0,600,10,13.5
1470690521.64,0,0,600,10,13.5
1470690521.65,0,0,600,10,13.5
1470690521.67,0,0,600,10,13.5
1470690521.69,0,0,600,10,13.5
1470690521.7,0,0,600,10,13.5
1470690521.72,0,0,600,10,13.5
1470690521.74,0,0,600,10,13.5
1470690521.75,0,0,600,10,13.5
1470690521.77,0,0,600,10,13.5
1470690521.79,0,0,600,10,13.5
1470690521.8,0,0,600,10,13.5
1470690521.82,0,0,600,10,13.5
1470690521.84,0,0,600,10,13.5
1470690521.85,0,0,600,10,13.5
1470690521.87,0,0,600,10,13.5
1470690521.89,0,0,600,10,13.5
1470690521.9,0,0,600,10,13.5
1470690521.92,0,0,600,10,13.5
1470690521.94,0,0,600,10,13.5
1470690521.95,0,0,600,10,13.5
1470690521.97,0,0,600,10,13.5
1470690521.99,0,0,600,10,13.5
1470690522.0,0,0,600,10,13.5
1470690522.02,0,0,600,10,13.5
1470690522.04,0,0,600,10,13.5
1470690522.05,0,0,600,10,13.5
1470690522.07,0,0,600,10,13.5
1470690522.09,0,0,600,10,13.5
1470690522.1,0,0,600,10,13.5
1470690522.12,0,0,600,10,13.5
1470690522.14,0,0,600,10,13.5
1470690522.15,0,0,600,10,13.5
1470690522.17,0,0,600,10,13.5
1470690522.19,0,0,600,10,13.5
1470690522.2,0,0,600,10,13.5
1470690522.22,0,0,600,10,13.5
1470690522.24,0,0,600,10,13.5
1470690522.25,0,0,600,10,13.5
1470690522.27,0,0,600,10,13.5
1470690522.29,0,0,600,10,13.5
1470690522.3,0,0,600,10,13.5
1470690522.32,0,0,600,10,13.5
1470690522.34,0,0,600,10,13.5
1470690522.35,0,0,600,10,13.5
1470690522.37,0,0,600,10,13.5
1470690522.39,0,0,600,10,13.5
1470690522.4,0,0,600,10,13.5
1470690522.42,0,0,600,10,13.5
1470690522.44,0,0,600,10,13.5
1470690522.45,0,0,600,10,13.5
1470690522.47,0,0,600,10,13.5
1470690522.49,0,0,600,10,13.5
1470690522.5,0,0,600,10,13.5
1470690522.52,0,0,600,10,13.5
1470690522.54,0,0,600,10,13.5
1470690522.55,0,0,600,10,13.5
1470690522.57,0,0,600,10,13.5
1470690522.59,0,0,600,10,13.5
1470690522.6,0,0,600,10,13.5
1470690522.62,0,0,600,10,13.5
