time,leverL,nose,threshold,horizontal,vertical
1470674226.14,0,0,700,10,13.5
1470674226.16,0,0,700,10,13.5
1470674226.17,0,0,700,10,13.5
1470674226.19,0,0,700,10,13.5
1470674226.21,0,0,700,10,13.5
1470674226.22,0,0,700,10,13.5
1470674226.24,0,0,700,10,13.5
1470674226.26,0,0,700,10,13.5
1470674226.27,0,0,700,10,13.5
1470674226.29,0,0,700,10,13.5
1470674226.3,0,0,700,10,13.5
1470674226.32,0,0,700,10,13.5
1470674226.34,0,0,700,10,13.5
1470674226.35,0,0,700,10,13.5
1470674226.37,0,0,700,10,13.5
1470674226.39,0,0,700,10,13.5
1470674226.4,0,0,700,10,13.5
1470674226.42,0,0,700,10,13.5
1470674226.44,0,0,700,10,13.5
1470674226.45,0,0,700,10,13.5
1470674226.47,0,0,700,10,13.5
1470674226.48,0,0,700,10,13.5
1470674226.5,0,0,700,10,13.5
1470674226.52,0,0,700,10,13.5
1470674226.53,0,0,700,10,13.5
1470674226.55,0,0,700,10,13.5
1470674226.57,0,0,700,10,13.5
1470674226.58,0,0,700,10,13.5
1470674226.6,0,0,700,10,13.5
1470674226.62,0,0,700,10,13.5
1470674226.64,0,0,700,10,13.5
1470674226.66,0,0,700,10,13.5
1470674226.67,0,0,700,10,13.5
1470674226.69,0,0,700,10,13.5
1470674226.71,0,0,700,10,13.5
1470674226.72,0,0,700,10,13.5
1470674226.74,0,0,700,10,13.5
1470674226.76,0,0,700,10,13.5
1470674226.77,0,0,700,10,13.5
1470674226.79,0,0,700,10,13.5
1470674226.81,0,0,700,10,13.5
1470674226.82,0,0,700,10,13.5
1470674226.84,0,0,700,10,13.5
1470674226.86,0,0,700,10,13.5
1470674226.87,0,0,700,10,13.5
1470674226.89,0,0,700,10,13.5
1470674226.91,0,0,700,10,13.5
1470674226.92,0,0,700,10,13.5
1470674226.94,0,0,700,10,13.5
1470674226.95,0,0,700,10,13.5
1470674226.97,0,0,700,10,13.5
1470674226.99,0,0,700,10,13.5
1470674227.0,0,0,700,10,13.5
1470674227.02,0,0,700,10,13.5
1470674227.04,0,0,700,10,13.5
1470674227.05,0,0,700,10,13.5
1470674227.07,0,0,700,10,13.5
1470674227.09,0,0,700,10,13.5
1470674227.1,0,0,700,10,13.5
1470674227.12,0,0,700,10,13.5
1470674227.14,0,0,700,10,13.5
1470674227.15,0,0,700,10,13.5
1470674227.17,0,0,700,10,13.5
1470674227.18,0,0,700,10,13.5
1470674227.2,0,0,700,10,13.5
1470674227.22,0,0,700,10,13.5
1470674227.23,0,0,700,10,13.5
1470674227.25,0,0,700,10,13.5
1470674227.27,0,0,700,10,13.5
1470674227.28,0,0,700,10,13.5
1470674227.3,0,0,700,10,13.5
1470674227.32,0,0,700,10,13.5
1470674227.33,0,0,700,10,13.5
1470674227.35,0,0,700,10,13.5
1470674227.37,0,0,700,10,13.5
1470674227.38,0,0,700,10,13.5
1470674227.4,0,0,700,10,13.5
1470674227.41,0,0,700,10,13.5
1470674227.43,0,0,700,10,13.5
1470674227.45,0,0,700,10,13.5
1470674227.46,0,0,700,10,13.5
1470674227.48,0,0,700,10,13.5
1470674227.5,0,0,700,10,13.5
1470674227.51,0,0,700,10,13.5
1470674227.53,0,0,700,10,13.5
1470674227.55,0,0,700,10,13.5
1470674227.56,0,0,700,10,13.5
1470674227.58,0,0,700,10,13.5
1470674227.6,0,0,700,10,13.5
1470674227.61,0,0,700,10,13.5
1470674227.63,0,0,700,10,13.5
1470674227.64,0,0,700,10,13.5
1470674227.66,0,0,700,10,13.5
1470674227.68,0,0,700,10,13.5
1470674227.69,0,0,700,10,13.5
1470674227.71,0,0,700,10,13.5
1470674227.73,0,0,700,10,13.5
1470674227.74,0,0,700,10,13.5
1470674227.76,0,0,700,10,13.5
1470674227.78,0,0,700,10,13.5
1470674227.79,0,0,700,10,13.5
1470674227.81,0,0,700,10,13.5
1470674227.83,0,0,700,10,13.5
1470674227.84,0,0,700,10,13.5
1470674227.86,0,0,700,10,13.5
1470674227.87,0,0,700,10,13.5
1470674227.89,0,0,700,10,13.5
1470674227.91,0,0,700,10,13.5
1470674227.92,0,0,700,10,13.5
