566.62,512,256
568.05,512,512
569.54,512,256
570.97,512,256
572.51,512,256
574.01,512,256
575.4,512,256
576.77,512,256
578.19,512,256
579.47,512,256
580.75,512,256
582.03,512,256
583.31,512,256
584.59,512,256
585.86,512,256
587.13,512,256
588.41,512,256
589.68,512,256
590.96,512,256
592.24,512,256
593.52,512,256
594.89,512,256
596.47,512,256
597.91,512,256
599.31,512,256
600.72,512,256
602.26,512,256
603.77,512,256
605.15,512,256
606.53,512,256
607.9,512,256
609.2,512,256
610.48,512,256
611.76,512,256
613.06,512,256
614.46,512,256
615.83,512,256
617.17,512,256
618.55,512,256
619.97,512,256
621.37,512,256
622.68,512,256
624.02,512,256
625.64,512,256
627.2,512,256
628.61,512,256
630.03,512,256
631.46,512,256
633.27,512,256
634.74,512,256
636.12,512,256
637.49,512,256
638.87,512,256
640.15,512,256
641.42,512,256
642.7,512,256
643.97,512,256
645.24,512,256
646.52,512,256
647.79,512,256
649.07,512,256
650.34,512,256
651.62,512,256
652.9,512,256
654.18,512,256
655.56,512,256
657.11,512,256
658.55,512,256
659.95,512,256
661.37,512,256
663.09,512,256
664.57,512,256
665.96,512,256
667.33,512,256
668.73,512,256
670.01,512,256
671.29,512,256
672.6,512,256
674.01,512,256
675.37,512,256
676.74,512,256
678.2,512,256
679.62,512,256
680.95,512,256
682.25,512,256
683.57,512,256
685.08,512,256
686.51,512,256
688.08,512,256
689.51,512,512
690.91,512,256
692.43,512,256
694.28,512,256
695.75,512,256
697.12,512,256
698.5,512,256
699.86,512,256
701.15,512,512
702.43,512,256
703.7,512,256
704.97,512,256
706.24,512,256
707.52,512,256
708.8,512,256
710.08,512,256
711.35,512,256
712.63,512,256
713.9,512,256
715.18,512,256
716.57,512,256
718.18,512,256
719.62,512,256
721.03,512,256
722.44,512,256
724.24,512,256
725.72,512,256
727.09,512,256
728.48,512,256
729.86,512,256
731.14,512,256
732.42,512,256
733.72,512,256
735.14,512,256
736.51,512,256
737.85,512,256
739.23,512,256
740.64,512,256
741.99,512,256
743.35,512,256
744.65,512,256
746.01,512,256
747.4,512,256
748.98,512,256
750.41,512,256
751.82,512,256
753.25,512,256
754.94,512,256
756.41,512,256
757.8,512,256
759.19,512,256
760.56,512,256
761.84,512,256
763.12,512,256
764.39,512,256
765.68,512,256
766.97,512,256
768.26,512,256
769.53,512,256
770.8,512,256
772.08,512,256
773.35,512,256
774.62,512,256
775.9,512,256
777.26,512,256
778.84,512,256
780.28,512,256
781.79,512,256
783.21,512,256
784.76,512,256
786.28,512,256
787.66,512,256
789.06,512,256
790.44,512,256
791.73,512,256
793.02,512,256
794.31,512,256
795.66,512,256
797.03,512,256
798.39,512,256
799.74,512,256
801.12,512,256
802.51,512,256
803.86,512,512
805.23,512,256
806.79,512,256
808.42,512,256
809.98,512,256
811.4,512,256
812.83,512,256
814.32,512,256
816.16,512,256
817.63,512,256
819.04,512,256
820.41,512,256
821.75,512,256
823.03,512,256
824.31,512,256
825.58,512,256
826.86,512,256
828.21,512,256
829.48,512,256
830.76,512,256
832.03,512,256
833.3,512,256
834.58,512,256
835.85,512,256
837.14,512,256
838.55,512,256
840.14,512,256
841.59,512,256
842.99,512,256
844.41,512,256
846.1,512,256
847.59,512,256
848.99,512,256
850.37,512,256
851.75,512,256
853.05,512,256
854.34,512,256
855.63,512,256
857.01,512,256
858.39,512,256
859.75,512,256
861.13,512,256
862.55,512,256
863.88,512,256
865.23,512,256
866.56,512,256
868.0,512,256
869.59,512,256
871.13,512,256
872.54,512,256
873.96,512,256
875.59,512,256
877.78,512,256
879.22,512,256
880.6,512,256
882.01,512,256
883.3,512,256
884.58,512,256
885.86,512,256
887.13,512,256
888.41,512,256
889.68,512,256
890.96,512,256
892.23,512,256
893.51,512,256
894.78,512,256
896.05,512,256
897.33,512,256
898.63,512,256
900.03,512,256
901.61,512,256
903.05,512,256
904.45,512,256
905.88,512,256
907.7,512,256
909.17,512,256
910.55,512,256
911.93,512,256
913.3,512,256
914.58,512,256
915.86,512,256
917.15,512,256
918.54,512,256
919.92,512,256
921.26,512,256
922.63,512,256
924.03,512,256
925.38,512,256
926.73,512,256
928.13,512,256
929.56,512,256
931.4,512,256
932.98,512,256
934.39,512,256
935.82,512,256
937.44,512,256
939.25,512,256
940.71,512,256
942.09,512,256
943.48,512,256
944.82,512,256
946.1,512,256
947.38,512,256
948.66,512,256
949.93,512,256
951.21,512,256
952.48,512,256
953.75,512,256
955.03,512,256
956.3,512,256
957.57,512,256
958.86,512,256
960.16,512,256
961.57,512,256
963.15,512,256
964.59,512,256
966.0,512,256
967.39,512,256
968.9,512,256
970.42,512,256
971.81,512,256
973.21,512,256
974.59,512,256
975.88,512,256
977.16,512,256
978.45,512,256
979.78,512,256
981.15,512,256
982.51,512,256
983.85,512,256
985.19,512,256
986.53,512,256
987.83,512,256
989.16,512,256
990.51,512,256
992.04,512,256
993.76,512,512
995.18,512,256
996.57,512,256
998.09,512,256
1000.19,512,256
1001.63,512,256
1003.01,512,256
1004.41,512,256
1005.73,512,256
1007.01,512,256
1008.29,512,256
1009.56,512,256
1010.84,512,256
1012.24,512,256
1013.69,512,256
1015.14,512,256
1016.6,512,256
1018.16,512,256
1019.7,512,256
1021.18,512,256
1022.73,512,256
1024.3,512,256
1025.72,512,256
1027.23,512,256
1028.76,512,256
1030.41,512,256
1032.01,512,256
1033.52,512,256
1035.01,512,256
1036.49,512,256
1037.97,512,256
1039.46,512,256
1040.94,512,256
1042.34,512,256
1043.71,512,256
1045.09,512,256
1046.53,512,256
1048.07,512,256
1049.59,512,256
1051.1,512,256
1053.24,512,256
1056.8,512,256
1058.48,512,256
1060.01,512,256
1061.82,512,256
1063.52,512,256
1065.21,512,256
1066.7,512,256
1068.29,512,256
1069.76,512,256
1071.1,512,256
1072.37,512,256
1073.65,512,256
1074.92,512,256
1076.19,512,256
1077.47,512,256
1078.75,512,256
1080.02,512,256
1081.3,512,256
1082.69,512,256
1084.26,512,256
1085.69,512,256
1087.07,512,256
1088.48,512,256
1089.98,512,256
1091.48,512,256
1092.89,512,256
1094.28,512,256
1095.67,512,256
1096.98,512,256
1098.27,512,256
1099.55,512,256
1100.84,512,256
1102.14,512,256
1103.54,512,256
1104.91,512,256
1106.28,512,256
1107.67,512,256
1109.12,512,256
1110.53,512,256
1111.86,512,256
1113.18,512,256
1114.58,512,256
1115.99,512,256
1118.83,512,256
1120.48,512,256
1122.01,512,256
1123.59,512,256
1125.03,512,512
1127.03,512,256
1128.61,512,256
1130.04,512,256
1131.52,512,256
1133.09,512,256
1135.17,512,256
1136.63,512,256
1138.14,512,256
1139.64,512,256
1141.1,512,256
1142.6,512,256
1144.03,512,256
1145.35,512,256
1146.75,512,256
1148.2,512,256
1149.68,512,256
1151.35,512,256
1153.05,512,256
1154.48,512,256
1155.87,512,256
1157.23,512,512
1158.57,512,256
1159.96,512,256
1161.41,512,256
1162.89,512,256
1164.37,512,256
1165.8,512,256
1167.68,512,256
1169.21,512,256
1170.7,512,256
1172.09,512,256
1173.49,512,256
1174.86,512,256
1176.23,512,256
1177.59,512,512
1178.98,512,256
1180.46,512,256
1182.03,512,256
1183.6,512,256
1185.23,512,256
1186.69,512,256
1188.42,512,256
1189.9,512,256
1191.66,512,256
1193.1,512,256
1194.72,512,256
1196.15,512,256
1197.45,512,256
1198.73,512,256
1200.0,512,256
1201.28,512,256
1202.55,512,256
1203.82,512,256
1205.1,512,256
1206.37,512,256
1207.64,512,256
1208.92,512,256
1210.29,512,256
1211.86,512,256
1213.3,512,256
1214.7,512,256
1216.09,512,256
1217.6,512,256
1219.25,512,256
1220.67,512,256
1222.08,512,256
1223.47,512,256
1224.77,512,256
1226.05,512,256
1227.33,512,256
1228.62,512,256
1229.9,512,256
1231.23,512,256
1232.6,512,256
1233.95,512,256
1235.27,512,256
1236.6,512,256
1237.93,512,256
1239.36,512,256
1240.71,512,256
1242.16,512,256
1243.71,512,256
1245.44,512,256
1246.9,512,256
1248.42,512,256
1249.9,512,256
1251.79,512,256
1253.25,512,256
1254.63,512,256
1256.07,512,256
1257.4,512,256
1258.69,512,512
1259.97,512,256
1261.25,512,256
1262.54,512,256
1263.82,512,256
1265.1,512,256
1266.38,512,256
1267.66,512,256
1268.95,512,256
1270.24,512,256
1271.53,512,256
1272.92,512,256
1274.48,512,256
1275.92,512,512
1277.32,512,256
1278.75,512,256
1280.35,512,256
1281.85,512,256
1283.23,512,256
1284.61,512,256
1286.0,512,256
1287.28,512,256
1288.57,512,256
1289.85,512,256
1291.13,512,256
1292.44,512,256
1293.88,512,256
1295.25,512,256
1296.6,512,256
1298.08,512,256
1299.46,512,256
1300.85,512,256
1302.2,512,256
1303.9,512,256
1305.92,512,256
1307.39,512,256
1308.87,512,256
1310.3,512,256
1312.15,512,256
1313.97,512,256
1315.37,512,256
1316.81,512,256
1318.19,512,256
1319.47,512,256
1320.75,512,256
1322.02,512,256
1323.29,512,256
1324.57,512,256
1325.84,512,256
1327.11,512,256
1328.4,512,256
1329.69,512,256
1330.97,512,256
1332.26,512,256
1333.67,512,256
1335.25,512,256
1336.69,512,256
1338.2,512,256
1339.68,512,256
1341.32,512,256
1342.81,512,256
1344.19,512,256
1345.57,512,256
1346.99,512,256
1348.28,512,256
1349.57,512,256
1350.85,512,256
1352.15,512,256
1353.57,512,256
1354.94,512,256
1356.29,512,256
1357.69,512,256
1359.08,512,256
1360.47,512,256
1361.81,512,256
1363.12,512,256
1364.96,512,256
1366.52,512,256
1367.91,512,256
1369.55,512,256
1370.98,512,256
1372.69,512,256
1374.16,512,256
1375.54,512,256
1376.9,512,256
1378.4,512,256
1379.69,512,256
1380.96,512,256
1382.24,512,256
1383.51,512,256
1384.79,512,256
1386.07,512,256
1387.34,512,256
1388.62,512,256
1389.89,512,256
1391.16,512,256
1392.44,512,256
1393.72,512,256
1395.12,512,256
1396.71,512,256
1398.22,512,256
1399.65,512,256
1401.06,512,256
1402.61,512,256
1404.13,512,256
1405.52,512,256
1406.9,512,256
1408.35,512,256
1409.64,512,256
1410.92,512,256
1412.2,512,256
1413.5,512,256
1414.89,512,256
1416.26,512,256
1417.6,512,256
1419.01,512,256
1420.37,512,256
1421.67,512,256
1423.01,512,256
1424.3,512,256
1426.12,512,256
1427.69,512,256
1429.12,512,256
1430.62,512,256
1432.35,512,256
1434.15,512,256
1435.63,512,256
1437.03,512,256
1438.41
